1 192 192
5.910480617e-01 4.089519379e-01 5.008239176e+01 6.829200432e+01 
6.522447849e-01 3.477552138e-01 4.642724124e+01 7.687619849e+01 
7.051682102e-01 2.948317876e-01 4.385194245e+01 8.488558481e+01 
7.489591972e-01 2.510408002e-01 4.193661218e+01 9.172845195e+01 
7.838167990e-01 2.161831980e-01 4.037653116e+01 9.713989132e+01 
8.105299011e-01 1.894700950e-01 3.902731484e+01 1.011332955e+02 
8.300723823e-01 1.699276126e-01 3.787290058e+01 1.038873776e+02 
8.433411312e-01 1.566588632e-01 3.696797319e+01 1.056362000e+02 
8.510217296e-01 1.489782646e-01 3.638634459e+01 1.065906912e+02 
8.535349390e-01 1.464650553e-01 3.618539809e+01 1.068923865e+02 
8.510217437e-01 1.489782505e-01 3.638634347e+01 1.065906929e+02 
8.433411600e-01 1.566588341e-01 3.696797107e+01 1.056362037e+02 
8.300724275e-01 1.699275672e-01 3.787289766e+01 1.038873838e+02 
8.105299650e-01 1.894700308e-01 3.902731132e+01 1.011333048e+02 
7.838168842e-01 2.161831124e-01 4.037652711e+01 9.713990437e+01 
7.489593063e-01 2.510406906e-01 4.193660740e+01 9.172846907e+01 
7.051683450e-01 2.948316524e-01 4.385193634e+01 8.488560571e+01 
6.522449445e-01 3.477550536e-01 4.642723273e+01 7.687622197e+01 
5.910482419e-01 4.089517570e-01 5.008237963e+01 6.829202831e+01 
5.238086986e-01 4.761913009e-01 5.519533417e+01 5.995707415e+01 
4.540019946e-01 5.459980055e-01 6.187983150e+01 5.268023065e+01 
3.856707039e-01 6.143292968e-01 6.983953408e+01 4.697367504e+01 
3.224526862e-01 6.775473150e-01 7.842603253e+01 4.291656986e+01 
2.668099248e-01 7.331900768e-01 8.687550457e+01 4.023748955e+01 
2.197870714e-01 7.802129299e-01 9.456302101e+01 3.852043528e+01 
1.812520231e-01 8.187479774e-01 1.011347672e+02 3.738517179e+01 
1.503470366e-01 8.496529631e-01 1.064992339e+02 3.656864129e+01 
1.259080924e-01 8.740919066e-01 1.107422610e+02 3.592387949e+01 
1.067470121e-01 8.932529863e-01 1.140344990e+02 3.538390148e+01 
9.179708282e-02 9.082029149e-01 1.165652426e+02 3.492465920e+01 
8.016464909e-02 9.198353480e-01 1.185067919e+02 3.453972183e+01 
7.112955947e-02 9.288704371e-01 1.200008167e+02 3.422672867e+01 
6.412381271e-02 9.358761836e-01 1.211570083e+02 3.398177093e+01 
5.870453262e-02 9.412954633e-01 1.220571734e+02 3.379808002e+01 
5.452858734e-02 9.454714083e-01 1.227609133e+02 3.366663086e+01 
5.133136392e-02 9.486686315e-01 1.233110615e+02 3.357733435e+01 
4.890999110e-02 9.510900041e-01 1.237381832e+02 3.352018150e+01 
4.711047372e-02 9.528895213e-01 1.240639998e+02 3.348609457e+01 
4.581801999e-02 9.541819749e-01 1.243038409e+02 3.346744500e+01 
4.494991420e-02 9.550500806e-01 1.244683123e+02 3.345829517e+01 
4.445043168e-02 9.555495631e-01 1.245643689e+02 3.345445531e+01 
4.428743702e-02 9.557125577e-01 1.245959606e+02 3.345344805e+01 
4.445043074e-02 9.555495639e-01 1.245643691e+02 3.345445531e+01 
4.494991227e-02 9.550500825e-01 1.244683126e+02 3.345829515e+01 
4.581801693e-02 9.541819778e-01 1.243038415e+02 3.346744496e+01 
4.711046934e-02 9.528895255e-01 1.240640006e+02 3.348609449e+01 
4.890998511e-02 9.510900099e-01 1.237381843e+02 3.352018137e+01 
5.133135594e-02 9.486686392e-01 1.233110629e+02 3.357733414e+01 
5.452857685e-02 9.454714185e-01 1.227609151e+02 3.366663055e+01 
5.870451896e-02 9.412954766e-01 1.220571757e+02 3.379807957e+01 
6.412379499e-02 9.358762009e-01 1.211570112e+02 3.398177031e+01 
7.112953656e-02 9.288704596e-01 1.200008205e+02 3.422672786e+01 
8.016461952e-02 9.198353771e-01 1.185067968e+02 3.453972082e+01 
9.179704471e-02 9.082029525e-01 1.165652490e+02 3.492465797e+01 
1.067469631e-01 8.932530348e-01 1.140345074e+02 3.538390003e+01 
1.259080295e-01 8.740919690e-01 1.107422718e+02 3.592387779e+01 
1.503469565e-01 8.496530426e-01 1.064992479e+02 3.656863921e+01 
1.812519221e-01 8.187480778e-01 1.011347846e+02 3.738516904e+01 
2.197869461e-01 7.802130546e-01 9.456304202e+01 3.852043126e+01 
2.668097734e-01 7.331902276e-01 8.687552856e+01 4.023748329e+01 
3.224525095e-01 6.775474911e-01 7.842605807e+01 4.291656011e+01 
3.856705067e-01 6.143294933e-01 6.983955904e+01 4.697366062e+01 
