1 192 192
7.078382983e-01 2.921617028e-01 1.874131036e+01 6.030897007e+01 
6.912113123e-01 3.087886900e-01 1.952391536e+01 5.776617776e+01 
6.735661481e-01 3.264338549e-01 2.039154057e+01 5.510477006e+01 
6.549318273e-01 3.450681757e-01 2.136037318e+01 5.234673851e+01 
6.353543229e-01 3.646456796e-01 2.244717874e+01 4.951804326e+01 
6.148976900e-01 3.851023117e-01 2.366845465e+01 4.664799266e+01 
5.936445347e-01 4.063554662e-01 2.503944640e+01 4.376835343e+01 
5.716956824e-01 4.283043177e-01 2.657308759e+01 4.091222425e+01 
5.491689475e-01 4.508310521e-01 2.827894537e+01 3.811273510e+01 
5.261969747e-01 4.738030246e-01 3.016226633e+01 3.540166153e+01 
5.029242041e-01 4.970757951e-01 3.222322007e+01 3.280806117e+01 
4.795030939e-01 5.204969053e-01 3.445642691e+01 3.035704597e+01 
4.560898163e-01 5.439101830e-01 3.685083191e+01 2.806879545e+01 
4.328396982e-01 5.671603013e-01 3.938995286e+01 2.595789275e+01 
4.099027085e-01 5.900972913e-01 4.205248950e+01 2.403303143e+01 
3.874192887e-01 6.125807115e-01 4.481324241e+01 2.229710033e+01 
3.655167821e-01 6.344832187e-01 4.764425779e+01 2.074761435e+01 
3.443066534e-01 6.556933482e-01 5.051609477e+01 1.937742548e+01 
3.238826055e-01 6.761173970e-01 5.339910639e+01 1.817562743e+01 
3.043196201e-01 6.956803832e-01 5.626463412e+01 1.712855800e+01 
2.856738669e-01 7.143261371e-01 5.908603513e+01 1.622080829e+01 
2.679833700e-01 7.320166345e-01 6.183948807e+01 1.543616178e+01 
2.512692809e-01 7.487307238e-01 6.450455139e+01 1.475840726e+01 
2.355375904e-01 7.644624140e-01 6.706447413e+01 1.417199192e+01 
2.207811128e-01 7.792188912e-01 6.950628039e+01 1.366250270e+01 
2.069815919e-01 7.930184113e-01 7.182066290e+01 1.321698110e+01 
1.941118050e-01 8.058881975e-01 7.400172898e+01 1.282408987e+01 
1.821375653e-01 8.178624363e-01 7.604664384e+01 1.247415689e+01 
1.710195582e-01 8.289804427e-01 7.795521318e+01 1.215912487e+01 
1.607149664e-01 8.392850339e-01 7.972944152e+01 1.187243490e+01 
1.511788678e-01 8.488211323e-01 8.137309497e+01 1.160886864e+01 
1.423654007e-01 8.576345993e-01 8.289128965e+01 1.136436992e+01 
1.342287097e-01 8.657712903e-01 8.429011965e+01 1.113586172e+01 
1.267236882e-01 8.732763121e-01 8.557633222e+01 1.092106994e+01 
1.198065415e-01 8.801934590e-01 8.675705305e+01 1.071836142e+01 
1.134351973e-01 8.865648034e-01 8.783956087e+01 1.052660037e+01 
1.075695851e-01 8.924304157e-01 8.883110804e+01 1.034502508e+01 
1.021718117e-01 8.978281892e-01 8.973878243e+01 1.017314478e+01 
9.720625159e-02 9.027937493e-01 9.056940517e+01 1.001065550e+01 
9.263957202e-02 9.073604287e-01 9.132945881e+01 9.857373223e+00 
8.844070879e-02 9.115592919e-01 9.202504024e+01 9.713182019e+00 
8.458080556e-02 9.154191950e-01 9.266183390e+01 9.577995032e+00 
8.103312782e-02 9.189668726e-01 9.324510055e+01 9.451726149e+00 
7.777296015e-02 9.222270402e-01 9.377967831e+01 9.334270381e+00 
7.477749346e-02 9.252225068e-01 9.426999248e+01 9.225491219e+00 
7.202570752e-02 9.279742927e-01 9.472007191e+01 9.125213461e+00 
6.949825245e-02 9.305017478e-01 9.513356970e+01 9.033220239e+00 
6.717733227e-02 9.328226679e-01 9.551378667e+01 8.949253180e+00 
6.504659230e-02 9.349534077e-01 9.586369632e+01 8.873014846e+00 
6.309101170e-02 9.369089882e-01 9.618597033e+01 8.804172738e+00 
